"Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)","Democratic (23) 
  Republican (27)"
"State","Portrait","Governor","Party","Party","Born","Prior public experience","Inauguration","End of term","Past governors",NA
"Pennsylvania","","Tom Wolf","","Democratic","(1948-11-17) November 17, 1948 (age 72)","Secretary of Revenue","January 20, 2015","2023 (term limits)","List",NA
"Rhode Island","","Daniel McKee","","Democratic","(1951-06-16) June 16, 1951 (age 70)","Lieutenant Governor","March 2, 2021","2023","List",NA
"South Carolina","","Henry McMaster","","Republican","(1947-05-27) May 27, 1947 (age 74)","Lieutenant Governor, Attorney General, Chair of the South Carolina Republican Party, U.S. Attorney","January 24, 2017","2023","List",NA
"South Dakota","","Kristi Noem","","Republican","(1971-11-30) November 30, 1971 (age 49)","U.S. House, South Dakota House","January 5, 2019","2023","List",NA
"Tennessee","","Bill Lee","","Republican","(1959-10-09) October 9, 1959 (age 61)","No prior public experience","January 19, 2019","2023","List",NA
"Texas","","Greg Abbott","","Republican","(1957-11-13) November 13, 1957 (age 63)","Attorney General, Associate Justice of the Texas Supreme Court","January 20, 2015","2023","List",NA
"Utah","","Spencer Cox","","Republican","(1975-07-11) July 11, 1975 (age 46)","Lieutenant Governor","January 4, 2021","2025","List",NA
"Vermont","","Phil Scott","","Republican","(1958-08-04) August 4, 1958 (age 62)","Lieutenant Governor, Vermont Senate","January 5, 2017","2021","List",NA
"Virginia","","Ralph Northam","","Democratic","(1959-09-13) September 13, 1959 (age 61)","Lieutenant Governor, Virginia Senate","January 13, 2018","2022 (term limits)","List",NA
"Washington","","Jay Inslee","","Democratic","(1951-02-09) February 9, 1951 (age 70)","U.S. House, Washington House","January 16, 2013","2021","List",NA
"West Virginia","","Jim Justice","","Republican[note 1]","(1951-04-27) April 27, 1951 (age 70)","No prior public experience","January 16, 2017","2021","List",NA
"Wisconsin","","Tony Evers","","Democratic","(1951-11-05) November 5, 1951 (age 69)","Superintendent of Public Instruction","January 7, 2019","2023","List",NA
"Wyoming","","Mark Gordon","","Republican","(1957-03-04) March 4, 1957 (age 64)","Treasurer","January 7, 2019","2023","List",NA
